x,y1,y2,y3,y4,Y13,Y24,Y36,Y40,dev_y1_Y13,dev_y2_Y24,dev_y3_Y36,dev_y4_Y40
-20.0,-45.29234,-15999.796,99.52958,899.8275,-45.0,-16000.0,100.0,899.5919,0.29234000000000293,0.2039999999997235,0.4704200000000043,0.23559999999997672
-19.9,-44.36496,-15761.017,99.89567,893.4274,-44.8,-15761.198,99.5,893.5128,0.43503999999999365,0.18100000000049477,0.3956699999999955,0.08539999999993597
-19.8,-44.565968,-15524.681,98.85578,887.16046,-44.6,-15524.784,99.0,887.4587,0.03403200000000339,0.10299999999915599,0.14422000000000423,0.298240000000078
-19.7,-44.76245,-15290.5,98.1261,881.4487,-44.4,-15290.746,98.5,881.43036,0.3624500000000026,0.2459999999991851,0.3739000000000061,0.01834000000008018
-19.6,-44.188698,-15058.586,97.511475,875.37726,-44.2,-15059.072,98.0,875.4286,0.01130200000000059,0.4860000000007858,0.48852499999999566,0.051339999999981956
-19.5,-44.325283,-14829.747,97.89807,869.4099,-44.0,-14829.75,97.5,869.45416,0.3252829999999989,0.0030000000006111804,0.39807000000000414,0.044260000000008404
-19.4,-44.25751,-14602.485,96.85988,863.8766,-43.8,-14602.768,97.0,863.5077,0.4575100000000063,0.282999999999447,0.14011999999999603,0.3689000000000533
-19.3,-43.125065,-14378.414,96.852066,857.5563,-43.6,-14378.114,96.5,857.5897,0.4749350000000021,0.3000000000010914,0.35206599999999355,0.03340000000002874
-19.2,-43.14248,-14155.929,95.52498,851.42163,-43.4,-14155.776,96.0,851.7008,0.2575199999999995,0.15300000000024738,0.47502000000000066,0.2791699999999082
-19.1,-43.300583,-13935.392,95.96843,845.65063,-43.2,-13935.742,95.5,845.8412,0.10058300000000031,0.3500000000003638,0.4684299999999979,0.1905699999999797
-19.0,-42.875423,-13718.042,95.377365,839.93085,-43.0,-13718.0,95.0,840.0113,0.12457700000000216,0.04199999999946158,0.3773649999999975,0.08045000000004165
-18.9,-42.94328,-13502.642,94.743195,834.3143,-42.8,-13502.538,94.5,834.21124,0.1432800000000043,0.10399999999935972,0.24319500000000005,0.10306000000002769
-18.8,-42.340214,-13289.002,94.043816,828.2413,-42.6,-13289.344,94.0,828.4412,0.2597859999999983,0.341999999998734,0.04381600000000674,0.1998999999999569
-18.7,-42.112392,-13078.37,93.623535,823.1283,-42.4,-13078.406,93.5,822.7012,0.28760799999999875,0.03600000000005821,0.12353500000000395,0.4270999999999958
-18.6,-41.990173,-12869.967,92.95969,816.8228,-42.2,-12869.712,93.0,816.99097,0.2098270000000042,0.25500000000101863,0.040310000000005175,0.16816999999991822
-18.5,-41.772976,-12663.32,92.20281,811.35956,-42.0,-12663.25,92.5,811.3105,0.22702400000000011,0.06999999999970896,0.2971900000000005,0.049059999999940374
-18.4,-41.32246,-12459.056,92.36537,805.2177,-41.8,-12459.008,92.0,805.65936,0.47753999999999763,0.04800000000068394,0.36536999999999864,0.4416599999999562
-18.3,-41.247326,-12256.788,91.11789,799.8028,-41.6,-12256.974,91.5,800.03723,0.3526740000000004,0.1859999999996944,0.3821099999999973,0.23442999999997483
-18.2,-41.05463,-12057.295,90.653404,794.1718,-41.4,-12057.136,91.0,794.44366,0.3453699999999955,0.15899999999965075,0.34659600000000523,0.2718600000000606
-18.1,-41.39409,-11859.699,90.907425,788.5623,-41.2,-11859.482,90.5,788.878,0.19408999999999565,0.21700000000055297,0.4074250000000035,0.31569999999999254
-18.0,-41.33695,-11663.903,89.84142,782.85504,-41.0,-11664.0,90.0,783.33966,0.33695000000000164,0.09699999999975262,0.1585800000000006,0.48461999999994987
-17.9,-40.717873,-11470.728,89.92756,777.8969,-40.8,-11470.678,89.5,777.82794,0.08212699999999984,0.049999999999272404,0.4275599999999997,0.06895999999994729
-17.8,-40.46489,-11279.917,89.39797,772.06604,-40.6,-11279.504,89.0,772.34204,0.1351100000000045,0.41299999999864667,0.3979700000000008,0.2759999999999536
-17.7,-40.174564,-11090.439,88.88937,766.6588,-40.4,-11090.466,88.5,766.8811,0.22543600000000197,0.027000000000043656,0.38936999999999955,0.22229999999990468
-17.6,-40.409603,-10904.015,87.90862,761.10486,-40.2,-10903.552,88.0,761.4443,0.2096029999999942,0.46299999999973807,0.0913800000000009,0.33943999999996777
-17.5,-39.546944,-10718.343,87.29848,756.1839,-40.0,-10718.75,87.5,756.0306,0.4530559999999966,0.4069999999992433,0.20152000000000214,0.1532999999999447
-17.4,-39.38404,-10536.112,87.07872,750.6001,-39.8,-10536.048,87.0,750.63904,0.41595999999999833,0.0639999999984866,0.07872000000000412,0.038940000000025066
-17.3,-40.079357,-10354.985,86.707054,745.4498,-39.6,-10355.434,86.5,745.26874,0.47935700000000026,0.4489999999987049,0.2070539999999994,0.18106000000000222
-17.2,-38.904865,-10176.984,86.35679,739.514,-39.4,-10176.896,86.0,739.9187,0.49513499999999766,0.08799999999973807,0.3567900000000037,0.40469999999993433
-17.1,-38.765858,-10000.822,85.93742,734.445,-39.2,-10000.422,85.5,734.5878,0.43414200000000136,0.3999999999996362,0.43742000000000303,0.14279999999996562
-17.0,-38.72946,-9826.456,85.08967,728.78735,-39.0,-9826.0,85.0,729.27515,0.2705399999999969,0.45600000000013097,0.08966999999999814,0.4878000000001066
-16.9,-38.7408,-9653.323,84.800354,724.08606,-38.8,-9653.618,84.5,723.9798,0.05919999999999703,0.29500000000007276,0.3003539999999987,0.10626000000002023
-16.8,-38.565224,-9483.553,83.587814,718.7637,-38.6,-9483.264,84.0,718.7007,0.034776000000000806,0.2890000000006694,0.4121860000000055,0.06299999999998818
-16.7,-38.278473,-9315.004,83.543915,713.2938,-38.4,-9314.926,83.5,713.437,0.12152700000000038,0.07800000000133878,0.04391499999999837,0.1431999999999789
-16.6,-38.00296,-9148.764,83.408485,708.361,-38.2,-9148.592,83.0,708.1878,0.19704000000000121,0.17199999999866122,0.4084849999999989,0.17319999999995161
-16.5,-37.50441,-8983.898,82.39564,703.38153,-38.0,-8984.25,82.5,702.9524,0.49559,0.35200000000077125,0.10435999999999979,0.42912999999998647
-16.4,-38.129,-8821.426,81.78814,697.5423,-37.8,-8821.888,82.0,697.7299,0.3290000000000006,0.46200000000135333,0.2118600000000015,0.18760000000008858
-16.3,-37.820213,-8661.155,81.05207,692.7168,-37.6,-8661.494,81.5,692.5198,0.2202130000000011,0.3389999999999418,0.4479299999999995,0.19700000000000273
-16.2,-36.94235,-8502.721,80.97514,687.73334,-37.4,-8503.056,81.0,687.32135,0.457650000000001,0.3350000000009459,0.02486000000000388,0.4119899999999461
-16.1,-36.82691,-8346.716,80.24257,681.71045,-37.2,-8346.562,80.5,682.13416,0.3730900000000048,0.1540000000004511,0.2574299999999994,0.42370999999991454
-16.0,-36.883045,-8191.72,80.09404,676.71484,-37.0,-8192.0,80.0,676.95764,0.11695499999999726,0.27999999999974534,0.09404000000000678,0.24279999999998836
-15.9,-36.49973,-8039.184,79.855865,671.59357,-36.8,-8039.358,79.5,671.7916,0.3002699999999976,0.17399999999997817,0.3558649999999943,0.19803000000001703
-15.8,-36.1569,-7888.509,79.40431,666.5939,-36.6,-7888.624,79.0,666.63574,0.44310000000000116,0.11499999999978172,0.4043099999999953,0.041840000000092914
-15.7,-36.655327,-7739.3813,78.49408,661.57605,-36.4,-7739.786,78.5,661.49,0.2553270000000012,0.404700000000048,0.005920000000003256,0.08605000000000018
-15.6,-35.787064,-7592.5693,78.21933,656.54767,-36.2,-7592.832,78.0,656.3542,0.41293600000000197,0.26270000000022264,0.21932999999999936,0.19347000000004755
-15.5,-35.64769,-7448.235,77.76323,651.27344,-36.0,-7447.75,77.5,651.22845,0.3523100000000028,0.4849999999996726,0.26322999999999297,0.04499000000009801
-15.4,-35.501133,-7304.5635,76.51474,645.78485,-35.8,-7304.528,77.0,646.113,0.2988669999999942,0.035499999999956344,0.4852599999999967,0.32815000000005057
-15.3,-35.11005,-7163.4517,76.079445,641.36304,-35.6,-7163.154,76.5,641.00793,0.48995000000000033,0.29769999999916763,0.42055499999999313,0.35510999999996784
-15.2,-35.019688,-7023.5977,75.94827,636.0277,-35.4,-7023.616,76.0,635.91376,0.38031199999999643,0.018299999999726424,0.05173000000000627,0.11393999999995685
-15.1,-35.49745,-6886.3247,75.87151,631.23975,-35.2,-6885.902,75.5,630.8308,0.29744999999999777,0.4227000000000771,0.3715100000000007,0.40895000000000437
-15.0,-35.039158,-6749.7734,75.17947,625.71234,-35.0,-6750.0,75.0,625.7597,0.03915800000000047,0.22659999999996217,0.1794699999999949,0.04735999999991236
-14.9,-34.33332,-6616.3203,74.645874,621.11096,-34.8,-6615.898,74.5,620.701,0.46667999999999665,0.42230000000017753,0.14587400000000628,0.40995999999995547
-14.8,-34.182953,-6483.172,73.7852,615.9381,-34.6,-6483.584,74.0,615.65533,0.4170470000000037,0.41200000000026193,0.21479999999999677,0.28276999999991403
-14.7,-34.71442,-6353.193,73.19189,610.7793,-34.4,-6353.046,73.5,610.6236,0.31441999999999837,0.14699999999993452,0.3081099999999992,0.15570000000002437
-14.6,-34.129642,-6224.6826,73.23799,605.3818,-34.2,-6224.272,73.0,605.6065,0.07035800000000592,0.4106000000001586,0.23798999999999637,0.22469999999998436
-14.5,-33.578342,-6096.908,72.31666,600.5974,-34.0,-6097.25,72.5,600.6049,0.42165800000000075,0.3419999999996435,0.18334000000000117,0.007500000000050022
-14.4,-33.75277,-5972.2485,71.55761,595.92737,-33.8,-5971.968,72.0,595.6198,0.047229999999998995,0.2804999999998472,0.44239000000000317,0.3075699999999415
-14.3,-33.435658,-5848.832,71.72888,591.1279,-33.6,-5848.414,71.5,590.6521,0.16434200000000487,0.4180000000005748,0.22888000000000375,0.4757999999999356
-14.2,-32.981686,-5726.2417,70.76621,585.6857,-33.4,-5726.576,71.0,585.7028,0.4183139999999952,0.33430000000043947,0.23378999999999905,0.01710000000002765
-14.1,-33.24181,-5606.4214,70.17679,581.0774,-33.2,-5606.442,70.5,580.7728,0.041809999999998126,0.020599999999831198,0.3232100000000031,0.3046000000000504
-14.0,-33.29416,-5487.769,70.22683,575.8053,-33.0,-5488.0,70.0,575.8633,0.294159999999998,0.23099999999976717,0.22683000000000675,0.057999999999992724
